94,Natashquan Airport,YNA,50.18999863,-61.78919983
95,Ottawa / Gatineau Airport,YND,45.52170181,-75.56359863
96,Matagami Airport,YNM,49.76169968,-77.80280304
97,Old Crow Airport,YOC,67.57060242,-139.8390045
98,CFB Cold Lake,YOD,54.40499878,-110.2789993
99,High Level Airport,YOJ,58.62139893,-117.1650009
100,Ottawa Macdonald-Cartier International Airport,YOW,45.32249832,-75.66919708
101,Prince Albert Glass Field,YPA,53.21419907,-105.6729965
102,Peace River Airport,YPE,56.226898,-117.446999
103,Southport Airport,YPG,49.903099,-98.273817
104,Pitt Meadows Airport,\N,49.21609879,-122.7099991
105,Pickle Lake Airport,YPL,51.44639969,-90.21420288
106,Port Menier Airport,YPN,49.83639908,-64.28859711
107,Peterborough Airport,YPQ,44.22999954,-78.36329651
108,Prince Rupert Airport,YPR,54.28609848,-130.4450073
109,Fort Chipewyan Airport,YPY,58.76720047,-111.1169968
110,Muskoka Airport,YQA,44.97470093,-79.30329895
111,Quebec Jean Lesage International Airport,YQB,46.7911,-71.393303
112,Red Deer Regional Airport,YQF,52.18220139,-113.8939972
113,Windsor Airport,YQG,42.27560043,-82.95559692
114,Watson Lake Airport,YQH,60.11640167,-128.8220062
115,Kenora Airport,YQK,49.78829956,-94.36309814
116,Lethbridge County Airport,YQL,49.63029861,-112.8000031
117,Greater Moncton International Airport,YQM,46.11220169,-64.6785965
119,Comox Airport,YQQ,49.71080017,-124.887001
120,Regina International Airport,YQR,50.43190002,-104.6660004
121,Thunder Bay Airport,YQT,48.37189865,-89.32389832
122,Grande Prairie Airport,YQU,55.17969894,-118.8850021
123,Yorkton Municipal Airport,YQV,51.26470184,-102.461998
124,North Battleford Airport,YQW,52.76919937,-108.2440033
125,Gander International Airport,YQX,48.93690109,-54.56809998
126,Sydney / J.A. Douglas McCurdy Airport,YQY,46.1614,-60.047798
127,Quesnel Airport,YQZ,53.02610016,-122.5100021
128,Resolute Bay Airport,YRB,74.71690369,-94.9693985
129,Rivière-du-Loup Airport,YRI,47.76440048,-69.58470154
130,Roberval Airport,YRJ,48.52000046,-72.26560211
131,Rocky Mountain House Airport,YRM,52.42969894,-114.9039993
132,Rankin Inlet Airport,YRT,62.81140137,-92.11579895
133,Sudbury Airport,YSB,46.625,-80.79889679
134,Sherbrooke Airport,YSC,45.43859863,-71.69139862
135,Saint John Airport,YSJ,45.31610107,-65.89029694
136,Fort Smith Airport,YSM,60.02030182,-111.961998
137,Nanisivik Airport,YSR,72.982201,-84.613602
138,Summerside Airport,YSU,46.44060135,-63.83359909
139,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,YSY,71.99389648,-125.2429962
140,Cape Dorset Airport,YTE,64.23000336,-76.52670288
141,Thompson Airport,YTH,55.80110168,-97.86419678
142,CFB Trenton,YTR,44.1189003,-77.52809906
143,Timmins/Victor M. Power,YTS,48.56969833,-81.37670136
144,Billy Bishop Toronto City Centre Airport,YTZ,43.627499,-79.396202
145,Tuktoyaktuk Airport,YUB,69.4332962,-133.026001
146,Montreal / Pierre Elliott Trudeau International Airport,YUL,45.47060013,-73.74079895
147,Repulse Bay Airport,YUT,66.52140045,-86.22470093
148,Hall Beach Airport,YUX,68.77610016,-81.2425
149,Rouyn Noranda Airport,YUY,48.20610046,-78.83560181
150,La Ronge Airport,YVC,55.15140152,-105.262001
151,Vermilion Airport,YVG,53.35580063,-110.8239975
152,Qikiqtarjuaq Airport,YVM,67.54579926,-64.03140259
153,Val-d'Or Airport,YVO,48.05329895,-77.78279877
154,Kuujjuaq Airport,YVP,58.09609985,-68.42690277
155,Norman Wells Airport,YVQ,65.28160095,-126.7979965
156,Vancouver International Airport,YVR,49.19390106,-123.1839981
157,Buffalo Narrows Airport,YVT,55.84189987,-108.4179993
158,Wiarton Airport,YVV,44.7458,-81.107201
159,Petawawa Airport,YWA,45.95220184,-77.31919861
160,Winnipeg / James Armstrong Richardson International Airport,YWG,49.90999985,-97.23989868
161,Wabush Airport,YWK,52.9219017,-66.86440277
162,Williams Lake Airport,YWL,52.18310165,-122.0540009
